initial_list_status	purpose	int_rate	installment	annual_inc	dti	verification_status	grade	revol_bal	inq_last_12m	delinq_2yrs	home_ownership	not_paid	log_inc	verified	grdCtoA
w	debt_consolidation	11.99	398.52	55000	15.99	Source Verified	B	754	1	1	RENT	0	10.91508846	1	1
w	debt_consolidation	12.62	120.65	62000	30.66	Source Verified	C	2194	2	0	RENT	1	11.03488966	1	0
w	home_improvement	19.03	726.8	29000	10.22	Not Verified	D	5279	5	3	MORTGAGE	1	10.27505111	0	0
w	credit_card	14.08	291.38	40000	22.53	Source Verified	C	6600	0	0	RENT	0	10.59663473	1	0
w	credit_card	25.82	389.34	31500	38.36	Verified	E	10489	4	0	OWN	0	10.35774282	1	0
w	debt_consolidation	16.02	140.67	44000	26.6	Not Verified	C	5217	3	1	MORTGAGE	1	10.69194491	0	0
f	debt_consolidation	22.91	773.26	80000	26.43	Not Verified	E	14036	1	1	RENT	1	11.28978191	0	0
w	debt_consolidation	18.06	1447.31	104000	26.7	Not Verified	D	27942	2	0	MORTGAGE	1	11.55214618	0	0
w	debt_consolidation	7.35	31.04	75000	4.65	Source Verified	A	3885	0	0	RENT	0	11.22524339	1	1
w	credit_card	25.82	355.03	42000	48.6	Verified	E	5768	6	3	MORTGAGE	0	10.6454249	1	0
w	credit_card	14.08	218.99	50000	29.07	Not Verified	C	14780	0	0	MORTGAGE	1	10.81977828	0	0
w	debt_consolidation	13.59	424.74	55000	20.39	Not Verified	C	11809	0	0	RENT	0	10.91508846	0	0
f	debt_consolidation	28.72	179.55	14397	27.27	Verified	F	11117	0	0	RENT	0	9.574775131	1	0
w	debt_consolidation	7.21	154.87	30500	24.15	Source Verified	A	5304	2	0	MORTGAGE	1	10.32548196	1	1
w	debt_consolidation	10.42	162.33	62400	11.37	Not Verified	B	7620	2	0	RENT	0	11.04132055	0	1
w	credit_card	12.62	335.12	42000	6.86	Not Verified	C	6251	1	0	RENT	1	10.6454249	0	0
w	debt_consolidation	7.97	313.23	50000	23.37	Source Verified	A	2101	0	2	OWN	0	10.81977828	1	1
f	credit_card	13.59	169.9	90000	25.21	Not Verified	C	9161	0	0	MORTGAGE	1	11.40756495	0	0
w	debt_consolidation	7.21	154.87	109000	15.57	Not Verified	A	4886	1	0	MORTGAGE	0	11.59910316	0	1
f	home_improvement	16.02	211.01	87000	22.32	Verified	C	3023	6	0	MORTGAGE	1	11.3736634	1	0
w	debt_consolidation	25.82	761.52	70891	25.34	Source Verified	E	11340	5	0	MORTGAGE	1	11.16889877	1	0
w	home_improvement	7.21	297.35	232000	12.1	Not Verified	A	4030	5	0	MORTGAGE	0	12.35449265	0	1
f	home_improvement	11.99	232.47	45000	6.43	Verified	B	0	3	0	MORTGAGE	1	10.71441777	1	1
w	credit_card	6.08	304.59	50000	7.62	Source Verified	A	10156	0	0	RENT	1	10.81977828	1	1
w	debt_consolidation	30.84	713.43	100000	9.36	Source Verified	G	13093	3	0	RENT	0	11.51292546	1	0
w	debt_consolidation	9.44	251.68	120000	13.48	Not Verified	B	12240	0	0	MORTGAGE	0	11.69524702	0	1
w	debt_consolidation	22.91	678.85	120000	13.45	Verified	E	6887	3	0	OWN	0	11.69524702	1	0
w	debt_consolidation	20	260.15	48407	17.16	Source Verified	D	9276	3	0	RENT	1	10.78739971	1	0
w	debt_consolidation	16.02	175.84	30000	17.76	Not Verified	C	4820	2	1	RENT	1	10.30895266	0	0
w	major_purchase	10.42	909.02	40000	3.81	Verified	B	5087	2	0	RENT	0	10.59663473	1	1
w	debt_consolidation	7.35	148.98	60000	28.14	Source Verified	A	12433	4	0	MORTGAGE	1	11.00209984	1	1
w	debt_consolidation	5.32	752.87	118000	17.52	Source Verified	A	10044	0	0	MORTGAGE	0	11.6784399	1	1
w	debt_consolidation	7.35	297.96	50000	42.99	Verified	A	12072	4	0	OWN	1	10.81977828	1	1
f	debt_consolidation	22.91	126.63	29000	18.17	Not Verified	E	6705	2	7	MORTGAGE	1	10.27505111	0	0
w	credit_card	12.62	563.98	64000	26.59	Source Verified	C	30292	1	1	RENT	1	11.06663836	1	0
w	debt_consolidation	14.08	298.37	92000	12.39	Verified	C	14095	4	0	MORTGAGE	1	11.42954386	1	0
w	debt_consolidation	6.08	974.67	110000	22.91	Source Verified	A	31773	5	0	RENT	0	11.60823564	1	1
w	debt_consolidation	16.02	527.51	48000	6.25	Source Verified	C	7088	1	3	OWN	0	10.77895629	1	0
